,Sample,CloudPercenatge,sample_std
557,target_29SPC_2018-10-13_2019-03-11_185_313_5305_5433_2_82_82_162.npz,41.0,0.029
558,target_29SPC_2018-10-13_2019-03-11_2489_2617_185_313_38_118_2_82.npz,31.0,0.019
559,target_29SPC_2018-10-13_2019-03-11_3001_3129_2361_2489_46_126_36_116.npz,37.0,0.012
560,target_29SPC_2018-10-13_2019-03-11_3257_3385_825_953_50_130_12_92.npz,33.0,0.06
561,target_29SPC_2018-10-13_2019-03-11_3897_4025_1209_1337_60_140_18_98.npz,38.0,0.043
562,target_29SPC_2018-10-13_2019-03-11_4025_4153_1081_1209_62_142_16_96.npz,35.0,0.025
563,target_29SPC_2018-10-13_2019-03-11_4665_4793_4281_4409_72_152_66_146.npz,47.0,0.028
564,target_29SPC_2018-10-13_2019-03-11_697_825_2745_2873_10_90_42_122.npz,46.0,0.033
565,target_29SPC_2018-10-13_2019-03-11_953_1081_3897_4025_14_94_60_140.npz,36.0,0.035
566,target_29SPC_2018-10-18_2019-03-16_1721_1849_4409_4537_26_106_68_148.npz,39.0,0.032
567,target_29SPC_2018-10-18_2019-03-16_185_313_1081_1209_2_82_16_96.npz,45.0,0.058
568,target_29SPC_2018-10-18_2019-03-16_2105_2233_3257_3385_32_112_50_130.npz,45.0,0.027
569,target_29SPC_2018-10-18_2019-03-16_4281_4409_1465_1593_66_146_22_102.npz,37.0,0.046
570,target_29SPC_2018-10-18_2019-03-16_4409_4537_185_313_68_148_2_82.npz,32.0,0.043
571,target_29SPC_2018-10-18_2019-03-16_697_825_5305_5433_10_90_82_162.npz,45.0,0.029
572,target_29SPC_2018-10-18_2019-03-16_825_953_441_569_12_92_6_86.npz,30.0,0.023
573,target_29SPC_2018-10-23_2019-03-21_1721_1849_1081_1209_26_106_16_96.npz,29.0,0.068
574,target_29SPC_2018-10-23_2019-03-21_1849_1977_1465_1593_28_108_22_102.npz,31.0,0.051
575,target_29SPC_2018-10-23_2019-03-21_3257_3385_1209_1337_50_130_18_98.npz,25.0,0.037
576,target_29SPC_2018-10-23_2019-03-21_3257_3385_1337_1465_50_130_20_100.npz,29.0,0.051
577,target_29SPC_2018-10-23_2019-03-21_4025_4153_1337_1465_62_142_20_100.npz,31.0,0.027
578,target_29SPC_2018-10-23_2019-03-21_953_1081_3513_3641_14_94_54_134.npz,37.0,0.019
579,target_29SPC_2018-11-02_2019-03-31_1721_1849_697_825_26_106_10_90.npz,30.0,0.054
580,target_29SPC_2018-11-02_2019-03-31_2105_2233_1081_1209_32_112_16_96.npz,32.0,0.049
581,target_29SPC_2018-11-02_2019-03-31_2873_3001_569_697_44_124_8_88.npz,32.0,0.033
582,target_29SPC_2018-11-02_2019-03-31_697_825_1977_2105_10_90_30_110.npz,39.0,0.029
583,target_29SPC_2018-11-12_2019-04-10_1209_1337_5049_5177_18_98_78_158.npz,41.0,0.05
584,target_29SPC_2018-11-12_2019-04-10_2617_2745_1337_1465_40_120_20_100.npz,34.0,0.041
585,target_29SPC_2018-11-12_2019-04-10_4153_4281_4665_4793_64_144_72_152.npz,34.0,0.037
586,target_29SPC_2018-11-12_2019-04-10_953_1081_3257_3385_14_94_50_130.npz,41.0,0.033
587,target_29SPC_2018-11-22_2019-04-20_1337_1465_4025_4153_20_100_62_142.npz,44.0,0.04
588,target_29SPC_2018-11-22_2019-04-20_1593_1721_3257_3385_24_104_50_130.npz,42.0,0.04
589,target_29SPC_2018-11-22_2019-04-20_1593_1721_697_825_24_104_10_90.npz,42.0,0.046
590,target_29SPC_2018-11-22_2019-04-20_1721_1849_3897_4025_26_106_60_140.npz,52.0,0.061
591,target_29SPC_2018-11-22_2019-04-20_185_313_1849_1977_2_82_28_108.npz,51.0,0.06
592,target_29SPC_2018-11-22_2019-04-20_2361_2489_2745_2873_36_116_42_122.npz,43.0,0.047
593,target_29SPC_2018-11-22_2019-04-20_2745_2873_1465_1593_42_122_22_102.npz,41.0,0.037
594,target_29SPC_2018-11-22_2019-04-20_2873_3001_3001_3129_44_124_46_126.npz,44.0,0.044
595,target_29SPC_2018-11-22_2019-04-20_3769_3897_1337_1465_58_138_20_100.npz,42.0,0.061
596,target_29SPC_2018-11-22_2019-04-20_3897_4025_1977_2105_60_140_30_110.npz,40.0,0.04
597,target_29SPC_2018-11-22_2019-04-20_4153_4281_4281_4409_64_144_66_146.npz,45.0,0.055
598,target_29SPC_2018-11-22_2019-04-20_4409_4537_4025_4153_68_148_62_142.npz,44.0,0.045
599,target_29SPC_2018-11-22_2019-04-20_5049_5177_3257_3385_78_158_50_130.npz,52.0,0.055
600,target_29SPC_2018-11-22_2019-04-20_5049_5177_4665_4793_78_158_72_152.npz,51.0,0.035
601,target_29SPC_2018-11-22_2019-04-20_5305_5433_1209_1337_82_162_18_98.npz,48.0,0.051
602,target_29SPC_2018-11-22_2019-04-20_5305_5433_953_1081_82_162_14_94.npz,53.0,0.045
603,target_29SPC_2018-11-22_2019-04-20_57_185_1337_1465_0_80_20_100.npz,43.0,0.043
604,target_29SPC_2018-11-22_2019-04-20_57_185_57_185_0_80_0_80.npz,44.0,0.039
605,target_29SPC_2018-12-02_2019-04-30_1209_1337_3257_3385_18_98_50_130.npz,45.0,0.05
606,target_29SPC_2018-12-12_2019-05-10_185_313_5049_5177_2_82_78_158.npz,47.0,0.048
607,target_29SPC_2018-12-12_2019-05-10_697_825_953_1081_10_90_14_94.npz,51.0,0.067
608,target_29SPC_2018-12-12_2019-05-10_825_953_697_825_12_92_10_90.npz,49.0,0.048
609,target_29SPC_2018-12-22_2019-05-20_825_953_2105_2233_12_92_32_112.npz,53.0,0.061
610,target_29SPC_2019-10-18_2020-03-15_1209_1337_3641_3769_18_98_56_136.npz,48.0,0.047
611,target_29SPC_2019-12-22_2020-05-19_569_697_569_697_8_88_8_88.npz,59.0,0.049
612,target_29SPC_2019-12-27_2020-05-24_1209_1337_313_441_18_98_4_84.npz,58.0,0.041
613,target_29SPC_2019-12-27_2020-05-24_313_441_4793_4921_4_84_74_154.npz,49.0,0.047
614,target_29SPC_2019-12-27_2020-05-24_441_569_4281_4409_6_86_66_146.npz,45.0,0.055
615,target_29SPC_2019-12-27_2020-05-24_57_185_4153_4281_0_80_64_144.npz,48.0,0.047
616,target_29SPC_2019-12-27_2020-05-24_825_953_57_185_12_92_0_80.npz,55.0,0.041
617,target_29SQB_2017-07-02_2017-11-28_697_825_313_441_10_90_4_84.npz,38.0,0.04
618,target_29SQB_2017-09-25_2018-02-21_2617_2745_4153_4281_40_120_64_144.npz,28.0,0.048
619,target_29SQB_2018-07-02_2018-11-28_1849_1977_441_569_28_108_6_86.npz,31.0,0.064
620,target_29SQB_2018-07-02_2018-11-28_1977_2105_4281_4409_30_110_66_146.npz,38.0,0.027
621,target_29SQB_2018-07-02_2018-11-28_3769_3897_2105_2233_58_138_32_112.npz,35.0,0.038
622,target_29SQB_2018-07-02_2018-11-28_4153_4281_4281_4409_64_144_66_146.npz,33.0,0.03
623,target_29SQB_2018-07-02_2018-11-28_57_185_2745_2873_0_80_42_122.npz,42.0,0.065
624,target_29SQB_2018-07-02_2018-11-28_57_185_3257_3385_0_80_50_130.npz,37.0,0.098
625,target_29SQB_2018-07-02_2018-11-28_697_825_4153_4281_10_90_64_144.npz,38.0,0.045
626,target_29SQB_2018-07-12_2018-12-08_1081_1209_4281_4409_16_96_66_146.npz,45.0,0.034
627,target_29SQB_2018-07-12_2018-12-08_2489_2617_185_313_38_118_2_82.npz,41.0,0.076
628,target_29SQB_2018-07-12_2018-12-08_4025_4153_441_569_62_142_6_86.npz,39.0,0.061
629,target_29SQB_2018-08-01_2018-12-28_3001_3129_1209_1337_46_126_18_98.npz,26.0,0.033
630,target_29SQB_2018-08-01_2018-12-28_4537_4665_1081_1209_70_150_16_96.npz,33.0,0.06
631,target_29SQB_2018-08-21_2019-01-17_3513_3641_1593_1721_54_134_24_104.npz,31.0,0.015
632,target_29SQB_2019-01-28_2019-06-26_1593_1721_4537_4665_24_104_70_150.npz,30.0,0.013
633,target_29SQB_2019-01-28_2019-06-26_825_953_1465_1593_12_92_22_102.npz,20.0,0.014
634,target_29SQB_2019-02-07_2019-07-06_1465_1593_3385_3513_22_102_52_132.npz,28.0,0.033
635,target_29SQB_2019-02-07_2019-07-06_2489_2617_2489_2617_38_118_38_118.npz,32.0,0.024
636,target_29SQB_2019-02-07_2019-07-06_3897_4025_2105_2233_60_140_32_112.npz,23.0,0.023
637,target_29SQB_2019-02-07_2019-07-06_4409_4537_1465_1593_68_148_22_102.npz,26.0,0.024
638,target_29SQB_2019-02-07_2019-07-06_441_569_3641_3769_6_86_56_136.npz,27.0,0.019
639,target_29SQB_2019-02-07_2019-07-06_5305_5433_5177_5305_82_162_80_160.npz,23.0,0.023
640,target_29SQB_2019-02-17_2019-07-16_1081_1209_3513_3641_16_96_54_134.npz,20.0,0.016
641,target_29SQB_2019-02-17_2019-07-16_3129_3257_1849_1977_48_128_28_108.npz,20.0,0.012
642,target_29SQB_2019-02-17_2019-07-16_441_569_3129_3257_6_86_48_128.npz,18.0,0.017
643,target_29SQB_2019-02-17_2019-07-16_4665_4793_3769_3897_72_152_58_138.npz,18.0,0.02
644,target_29SQB_2019-02-17_2019-07-16_825_953_825_953_12_92_12_92.npz,21.0,0.027
645,target_29SQB_2019-02-22_2019-07-21_185_313_185_313_2_82_2_82.npz,22.0,0.041
646,target_29SQB_2019-02-22_2019-07-21_185_313_2617_2745_2_82_40_120.npz,18.0,0.036
647,target_29SQB_2019-02-22_2019-07-21_3769_3897_1209_1337_58_138_18_98.npz,17.0,0.02
648,target_29SQB_2019-02-22_2019-07-21_953_1081_1209_1337_14_94_18_98.npz,17.0,0.06
649,target_29SQB_2019-02-27_2019-07-26_1977_2105_1337_1465_30_110_20_100.npz,19.0,0.048
650,target_29SQB_2019-02-27_2019-07-26_313_441_1081_1209_4_84_16_96.npz,25.0,0.064
651,target_29SQB_2019-02-27_2019-07-26_3385_3513_825_953_52_132_12_92.npz,16.0,0.023
652,target_29SQB_2019-02-27_2019-07-26_57_185_1849_1977_0_80_28_108.npz,15.0,0.027
653,target_29SQB_2019-03-04_2019-07-31_313_441_2105_2233_4_84_32_112.npz,16.0,0.04
654,target_29SQB_2019-03-09_2019-08-05_1465_1593_185_313_22_102_2_82.npz,16.0,0.043
655,target_29SQB_2019-03-09_2019-08-05_1465_1593_3129_3257_22_102_48_128.npz,18.0,0.018
656,target_29SQB_2019-03-09_2019-08-05_2105_2233_2489_2617_32_112_38_118.npz,20.0,0.024
657,target_29SQB_2019-03-09_2019-08-05_2489_2617_4793_4921_38_118_74_154.npz,16.0,0.023
658,target_29SQB_2019-03-09_2019-08-05_2745_2873_1337_1465_42_122_20_100.npz,17.0,0.016
659,target_29SQB_2019-03-09_2019-08-05_5049_5177_1081_1209_78_158_16_96.npz,24.0,0.024
660,target_29SQB_2019-03-09_2019-08-05_825_953_441_569_12_92_6_86.npz,20.0,0.027
661,target_29SQB_2019-03-09_2019-08-05_953_1081_2489_2617_14_94_38_118.npz,15.0,0.006
662,target_29SQB_2019-03-14_2019-08-10_3513_3641_4921_5049_54_134_76_156.npz,24.0,0.025
663,target_29SQB_2019-03-14_2019-08-10_4281_4409_4025_4153_66_146_62_142.npz,19.0,0.019
664,target_29SQB_2019-03-14_2019-08-10_441_569_2873_3001_6_86_44_124.npz,16.0,0.012
665,target_29SQB_2019-03-14_2019-08-10_825_953_569_697_12_92_8_88.npz,19.0,0.022
666,target_29SQB_2019-03-19_2019-08-15_1081_1209_1593_1721_16_96_24_104.npz,14.0,0.007
667,target_29SQB_2019-03-19_2019-08-15_1337_1465_3513_3641_20_100_54_134.npz,17.0,0.013
668,target_29SQB_2019-03-19_2019-08-15_3641_3769_825_953_56_136_12_92.npz,12.0,0.026
669,target_29SQB_2019-03-19_2019-08-15_4281_4409_3897_4025_66_146_60_140.npz,19.0,0.019
670,target_29SQB_2019-03-19_2019-08-15_4537_4665_5049_5177_70_150_78_158.npz,20.0,0.011
671,target_29SQB_2019-03-19_2019-08-15_4921_5049_1337_1465_76_156_20_100.npz,21.0,0.022
672,target_29SQB_2019-03-19_2019-08-15_5049_5177_1209_1337_78_158_18_98.npz,24.0,0.032
673,target_29SQB_2019-03-24_2019-08-20_1977_2105_2233_2361_30_110_34_114.npz,21.0,0.012
674,target_29SQB_2019-03-29_2019-08-25_569_697_2489_2617_8_88_38_118.npz,11.0,0.006
675,target_29SQB_2019-03-29_2019-08-25_697_825_1209_1337_10_90_18_98.npz,17.0,0.03
676,target_29SQB_2019-04-08_2019-09-04_1337_1465_3897_4025_20_100_60_140.npz,16.0,0.027
677,target_29SQB_2019-04-18_2019-09-14_1465_1593_2233_2361_22_102_34_114.npz,20.0,0.017
678,target_29SQB_2019-04-18_2019-09-14_1465_1593_3641_3769_22_102_56_136.npz,18.0,0.013
679,target_29SQB_2019-04-18_2019-09-14_1593_1721_185_313_24_104_2_82.npz,20.0,0.028
680,target_29SQB_2019-04-18_2019-09-14_2233_2361_2233_2361_34_114_34_114.npz,25.0,0.025
681,target_29SQB_2019-04-18_2019-09-14_2361_2489_1209_1337_36_116_18_98.npz,18.0,0.041
682,target_29SQB_2019-04-18_2019-09-14_2617_2745_4025_4153_40_120_62_142.npz,22.0,0.031
683,target_29SQB_2019-04-18_2019-09-14_313_441_3513_3641_4_84_54_134.npz,18.0,0.009
684,target_29SQB_2019-04-18_2019-09-14_3641_3769_1721_1849_56_136_26_106.npz,21.0,0.029
685,target_29SQB_2019-04-18_2019-09-14_4537_4665_5177_5305_70_150_80_160.npz,17.0,0.012
686,target_29SQB_2019-04-18_2019-09-14_4665_4793_4665_4793_72_152_72_152.npz,22.0,0.014
687,target_29SQB_2019-04-18_2019-09-14_57_185_2873_3001_0_80_44_124.npz,12.0,0.007
688,target_29SQB_2019-04-18_2019-09-14_697_825_1593_1721_10_90_24_104.npz,18.0,0.015
689,target_29SQB_2019-04-18_2019-09-14_697_825_4921_5049_10_90_76_156.npz,23.0,0.028
690,target_29SQB_2019-04-18_2019-09-14_825_953_1209_1337_12_92_18_98.npz,11.0,0.006
691,target_29SQB_2019-04-28_2019-09-24_1209_1337_3769_3897_18_98_58_138.npz,15.0,0.015
692,target_29SQB_2019-04-28_2019-09-24_1593_1721_1977_2105_24_104_30_110.npz,11.0,0.057
693,target_29SQB_2019-04-28_2019-09-24_1977_2105_1465_1593_30_110_22_102.npz,18.0,0.061
694,target_29SQB_2019-04-28_2019-09-24_1977_2105_1721_1849_30_110_26_106.npz,18.0,0.048
695,target_29SQB_2019-04-28_2019-09-24_2105_2233_4665_4793_32_112_72_152.npz,19.0,0.034
696,target_29SQB_2019-04-28_2019-09-24_3769_3897_2105_2233_58_138_32_112.npz,23.0,0.049
697,target_29SQB_2019-04-28_2019-09-24_4793_4921_4665_4793_74_154_72_152.npz,17.0,0.017
698,target_29SQB_2019-04-28_2019-09-24_5177_5305_4921_5049_80_160_76_156.npz,12.0,0.01
699,target_29SQB_2019-04-28_2019-09-24_569_697_2233_2361_8_88_34_114.npz,12.0,0.008
700,target_29SQB_2019-04-28_2019-09-24_697_825_2489_2617_10_90_38_118.npz,5.0,0.005
701,target_29SQB_2019-04-28_2019-09-24_697_825_4153_4281_10_90_64_144.npz,10.0,0.01
702,target_29SQB_2019-04-28_2019-09-24_825_953_4537_4665_12_92_70_150.npz,15.0,0.029
703,target_29SQB_2019-04-28_2019-09-24_953_1081_4153_4281_14_94_64_144.npz,15.0,0.026
704,target_29SQB_2019-04-28_2019-09-24_953_1081_4281_4409_14_94_66_146.npz,13.0,0.029
705,target_29SQB_2019-04-28_2019-09-24_953_1081_5177_5305_14_94_80_160.npz,14.0,0.023
706,target_29SQB_2019-05-08_2019-10-04_1081_1209_4281_4409_16_96_66_146.npz,13.0,0.029
707,target_29SQB_2019-05-08_2019-10-04_4025_4153_441_569_62_142_6_86.npz,10.0,0.016
708,target_29SQB_2019-05-18_2019-10-14_2233_2361_4665_4793_34_114_72_152.npz,9.0,0.03
709,target_29SQB_2019-05-28_2019-10-24_1593_1721_1337_1465_24_104_20_100.npz,20.0,0.058
710,target_29SQB_2019-05-28_2019-10-24_4409_4537_185_313_68_148_2_82.npz,20.0,0.032
711,target_29SQB_2019-05-28_2019-10-24_697_825_2745_2873_10_90_42_122.npz,17.0,0.043
712,target_29SQB_2019-06-27_2019-11-23_1337_1465_4409_4537_20_100_68_148.npz,24.0,0.026
713,target_29SQB_2019-07-07_2019-12-03_1465_1593_3385_3513_22_102_52_132.npz,27.0,0.048
714,target_29SQB_2019-07-07_2019-12-03_2745_2873_2361_2489_42_122_36_116.npz,36.0,0.061
715,target_29SQB_2019-07-07_2019-12-03_2873_3001_953_1081_44_124_14_94.npz,37.0,0.051
716,target_29SQB_2019-07-07_2019-12-03_3641_3769_1081_1209_56_136_16_96.npz,37.0,0.059
717,target_29SQB_2019-07-07_2019-12-03_4793_4921_697_825_74_154_10_90.npz,30.0,0.078
718,target_29SQB_2019-07-17_2019-12-13_3641_3769_1977_2105_56_136_30_110.npz,31.0,0.056
719,target_29SQB_2019-07-17_2019-12-13_825_953_4153_4281_12_92_64_144.npz,33.0,0.052
720,target_29SQB_2019-07-27_2019-12-23_1849_1977_3897_4025_28_108_60_140.npz,29.0,0.021
721,target_29SQB_2019-08-01_2019-12-28_1849_1977_3129_3257_28_108_48_128.npz,30.0,0.047
722,target_29SQB_2019-08-01_2019-12-28_4153_4281_5049_5177_64_144_78_158.npz,33.0,0.053
723,target_29SQB_2019-08-06_2020-01-02_1465_1593_3129_3257_22_102_48_128.npz,33.0,0.062
724,target_29SQB_2019-08-06_2020-01-02_3641_3769_1849_1977_56_136_28_108.npz,35.0,0.06
725,target_29SQB_2019-08-06_2020-01-02_697_825_3897_4025_10_90_60_140.npz,38.0,0.074
726,target_29SQB_2019-08-06_2020-01-02_825_953_4281_4409_12_92_66_146.npz,38.0,0.062
727,target_29SQB_2019-08-16_2020-01-12_1593_1721_3641_3769_24_104_56_136.npz,32.0,0.051
728,target_29SQB_2019-08-16_2020-01-12_2361_2489_2361_2489_36_116_36_116.npz,39.0,0.076
729,target_29SQB_2019-08-16_2020-01-12_3129_3257_2745_2873_48_128_42_122.npz,39.0,0.053
730,target_29TNE_2017-06-20_2017-11-16_3769_3897_5305_5433_58_138_82_162.npz,22.0,0.041
731,target_29TNE_2017-06-20_2017-11-16_4025_4153_5049_5177_62_142_78_158.npz,17.0,0.019
732,target_29TNE_2017-06-20_2017-11-16_4281_4409_1593_1721_66_146_24_104.npz,16.0,0.014
733,target_29TNE_2017-06-30_2017-11-26_3257_3385_2233_2361_50_130_34_114.npz,25.0,0.005
734,target_29TNE_2017-06-30_2017-11-26_3769_3897_5049_5177_58_138_78_158.npz,32.0,0.013
735,target_29TNE_2017-06-30_2017-11-26_4665_4793_953_1081_72_152_14_94.npz,22.0,0.007
736,target_29TNE_2017-06-30_2017-11-26_4793_4921_1977_2105_74_154_30_110.npz,22.0,0.028
737,target_29TNE_2017-07-05_2017-12-01_1337_1465_2745_2873_20_100_42_122.npz,33.0,0.016
738,target_29TNE_2017-07-05_2017-12-01_3001_3129_5305_5433_46_126_82_162.npz,34.0,0.052
739,target_29TNE_2017-07-10_2017-12-06_3001_3129_1593_1721_46_126_24_104.npz,22.0,0.011
740,target_29TNE_2017-07-10_2017-12-06_4281_4409_1721_1849_66_146_26_106.npz,24.0,0.02
741,target_29TNE_2017-07-10_2017-12-06_4665_4793_2617_2745_72_152_40_120.npz,22.0,0.023
742,target_29TNE_2017-07-10_2017-12-06_5177_5305_2233_2361_80_160_34_114.npz,23.0,0.042
743,target_29TNE_2017-07-15_2017-12-11_2361_2489_1209_1337_36_116_18_98.npz,26.0,0.025
744,target_29TNE_2017-07-15_2017-12-11_5049_5177_1465_1593_78_158_22_102.npz,30.0,0.039
745,target_29TNE_2017-07-20_2017-12-16_1337_1465_2361_2489_20_100_36_116.npz,28.0,0.029
746,target_29TNE_2017-07-30_2017-12-26_3257_3385_1849_1977_50_130_28_108.npz,32.0,0.018
747,target_29TNE_2017-08-09_2018-01-05_4281_4409_1465_1593_66_146_22_102.npz,41.0,0.062
748,target_29TNE_2017-08-09_2018-01-05_4665_4793_2489_2617_72_152_38_118.npz,37.0,0.077
749,target_29TNE_2017-08-19_2018-01-15_2873_3001_1849_1977_44_124_28_108.npz,44.0,0.059
750,target_29TNE_2017-08-29_2018-01-25_3513_3641_1337_1465_54_134_20_100.npz,54.0,0.054
751,target_29TNE_2017-08-29_2018-01-25_4153_4281_1593_1721_64_144_24_104.npz,56.0,0.062
752,target_29TNE_2017-08-29_2018-01-25_5305_5433_953_1081_82_162_14_94.npz,54.0,0.08
753,target_29TNE_2017-09-08_2018-02-04_2873_3001_1593_1721_44_124_24_104.npz,55.0,0.096
754,target_29TNE_2017-09-08_2018-02-04_4281_4409_5049_5177_66_146_78_158.npz,49.0,0.104
755,target_29TNE_2017-09-08_2018-02-04_4409_4537_5049_5177_68_148_78_158.npz,54.0,0.074
756,target_29TNE_2017-09-08_2018-02-04_5305_5433_3129_3257_82_162_48_128.npz,60.0,0.072
757,target_29TNE_2017-09-08_2018-02-04_5305_5433_3897_4025_82_162_60_140.npz,54.0,0.099
758,target_29TNE_2017-09-08_2018-02-04_5305_5433_4025_4153_82_162_62_142.npz,54.0,0.088
759,target_29TNE_2017-09-18_2018-02-14_1593_1721_2745_2873_24_104_42_122.npz,61.0,0.075
760,target_29TNE_2017-09-18_2018-02-14_1849_1977_2361_2489_28_108_36_116.npz,59.0,0.035
761,target_29TNE_2017-09-18_2018-02-14_3385_3513_2873_3001_52_132_44_124.npz,64.0,0.121
762,target_29TNE_2017-09-28_2018-02-24_3513_3641_953_1081_54_134_14_94.npz,64.0,0.096
763,target_29TNE_2017-10-08_2018-03-06_3385_3513_441_569_52_132_6_86.npz,69.0,0.06
764,target_29TNE_2017-10-08_2018-03-06_3385_3513_569_697_52_132_8_88.npz,69.0,0.093
765,target_29TNE_2017-10-08_2018-03-06_3769_3897_1977_2105_58_138_30_110.npz,62.0,0.032
766,target_29TNE_2017-10-08_2018-03-06_4537_4665_1337_1465_70_150_20_100.npz,69.0,0.068
767,target_29TNE_2017-10-08_2018-03-06_5049_5177_2105_2233_78_158_32_112.npz,72.0,0.046
768,target_29TNE_2017-10-08_2018-03-06_5305_5433_5305_5433_82_162_82_162.npz,70.0,0.026
769,target_29TNE_2017-10-18_2018-03-16_3513_3641_1081_1209_54_134_16_96.npz,68.0,0.069
770,target_29TNE_2017-10-18_2018-03-16_3897_4025_2105_2233_60_140_32_112.npz,67.0,0.031
771,target_29TNE_2017-10-18_2018-03-16_4537_4665_4921_5049_70_150_76_156.npz,57.0,0.056
772,target_29TNE_2017-10-28_2018-03-26_1721_1849_2105_2233_26_106_32_112.npz,59.0,0.048
773,target_29TNE_2017-10-28_2018-03-26_4921_5049_5049_5177_76_156_78_158.npz,68.0,0.078
774,target_29TNE_2017-11-07_2018-04-05_4665_4793_569_697_72_152_8_88.npz,65.0,0.09
775,target_29TNE_2018-08-04_2018-12-31_4153_4281_2361_2489_64_144_36_116.npz,51.0,0.066
776,target_29TNE_2018-08-04_2018-12-31_441_569_4665_4793_6_86_72_152.npz,49.0,0.061
777,target_29TNE_2018-08-14_2019-01-10_4409_4537_4537_4665_68_148_70_150.npz,63.0,0.074
778,target_29TNE_2018-08-14_2019-01-10_5305_5433_2233_2361_82_162_34_114.npz,49.0,0.073
779,target_29TNE_2018-08-24_2019-01-20_5305_5433_4153_4281_82_162_64_144.npz,46.0,0.034
780,target_29TNE_2018-09-03_2019-01-30_2361_2489_1081_1209_36_116_16_96.npz,59.0,0.053
781,target_29TNE_2018-09-03_2019-01-30_4537_4665_2361_2489_70_150_36_116.npz,52.0,0.085
782,target_29TNE_2018-09-03_2019-01-30_4665_4793_1721_1849_72_152_26_106.npz,54.0,0.102
783,target_29TNE_2018-09-03_2019-01-30_5049_5177_2617_2745_78_158_40_120.npz,43.0,0.069
784,target_29TNE_2018-09-13_2019-02-09_1081_1209_1081_1209_16_96_16_96.npz,57.0,0.036
785,target_29TNE_2018-09-13_2019-02-09_1209_1337_3257_3385_18_98_50_130.npz,61.0,0.074
786,target_29TNE_2018-09-13_2019-02-09_1337_1465_2873_3001_20_100_44_124.npz,52.0,0.054
787,target_29TNE_2018-09-13_2019-02-09_185_313_4025_4153_2_82_62_142.npz,53.0,0.05
788,target_29TNE_2018-09-13_2019-02-09_2105_2233_2105_2233_32_112_32_112.npz,63.0,0.057
789,target_29TNE_2018-09-13_2019-02-09_2361_2489_2745_2873_36_116_42_122.npz,68.0,0.087
790,target_29TNE_2018-09-13_2019-02-09_2873_3001_1081_1209_44_124_16_96.npz,60.0,0.025
791,target_29TNE_2018-09-13_2019-02-09_313_441_3129_3257_4_84_48_128.npz,62.0,0.09
792,target_29TNE_2018-09-13_2019-02-09_3897_4025_1465_1593_60_140_22_102.npz,63.0,0.054
793,target_29TNE_2018-09-13_2019-02-09_3897_4025_2745_2873_60_140_42_122.npz,63.0,0.04
794,target_29TNE_2018-09-13_2019-02-09_4281_4409_1593_1721_66_146_24_104.npz,58.0,0.074
795,target_29TNE_2018-09-13_2019-02-09_4793_4921_2361_2489_74_154_36_116.npz,49.0,0.053
796,target_29TNE_2018-09-13_2019-02-09_4793_4921_697_825_74_154_10_90.npz,64.0,0.069
797,target_29TNE_2018-09-13_2019-02-09_5049_5177_3129_3257_78_158_48_128.npz,64.0,0.057
798,target_29TNE_2018-09-23_2019-02-19_1209_1337_2745_2873_18_98_42_122.npz,57.0,0.063
799,target_29TNE_2018-09-23_2019-02-19_2745_2873_2233_2361_42_122_34_114.npz,41.0,0.022
800,target_29TNE_2018-09-23_2019-02-19_2873_3001_2617_2745_44_124_40_120.npz,46.0,0.021
801,target_29TNE_2018-09-23_2019-02-19_3897_4025_2361_2489_60_140_36_116.npz,44.0,0.074
802,target_29TNE_2018-09-23_2019-02-19_4409_4537_4281_4409_68_148_66_146.npz,54.0,0.04
803,target_29TNE_2018-09-23_2019-02-19_825_953_1337_1465_12_92_20_100.npz,53.0,0.035
804,target_29TNE_2018-09-28_2019-02-24_1081_1209_4281_4409_16_96_66_146.npz,51.0,0.058
805,target_29TNE_2018-09-28_2019-02-24_1465_1593_4025_4153_22_102_62_142.npz,59.0,0.045
806,target_29TNE_2018-09-28_2019-02-24_2489_2617_3897_4025_38_118_60_140.npz,56.0,0.063
807,target_29TNE_2018-09-28_2019-02-24_3641_3769_2233_2361_56_136_34_114.npz,43.0,0.022
808,target_29TNE_2018-09-28_2019-02-24_4281_4409_1081_1209_66_146_16_96.npz,49.0,0.072
809,target_29TNE_2018-09-28_2019-02-24_4921_5049_2233_2361_76_156_34_114.npz,37.0,0.058
810,target_29TNE_2018-09-28_2019-02-24_825_953_1081_1209_12_92_16_96.npz,61.0,0.06
811,target_29TNE_2018-10-03_2019-03-01_4921_5049_3641_3769_76_156_56_136.npz,56.0,0.055
812,target_29TNE_2018-10-03_2019-03-01_5177_5305_2233_2361_80_160_34_114.npz,41.0,0.078
813,target_29TNE_2018-10-03_2019-03-01_57_185_4153_4281_0_80_64_144.npz,44.0,0.02
814,target_29TNE_2018-10-03_2019-03-01_697_825_4409_4537_10_90_68_148.npz,53.0,0.02
815,target_29TNE_2018-10-08_2019-03-06_569_697_3641_3769_8_88_56_136.npz,53.0,0.053
816,target_29TNE_2018-10-13_2019-03-11_1209_1337_4665_4793_18_98_72_152.npz,54.0,0.041
817,target_29TNE_2018-10-18_2019-03-16_2361_2489_5305_5433_36_116_82_162.npz,46.0,0.055
818,target_29TNE_2018-10-18_2019-03-16_4409_4537_2105_2233_68_148_32_112.npz,47.0,0.094
